iso3,year,Tuberculosis_Deaths,Country,region,subregion,latitude,longitude
AFG,2011,5999.351,Afghanistan,Asia,Southern Asia,33.0,65.0
AGO,2011,10573.06,Angola,Africa,Middle Africa,-12.5,18.5
ALB,2011,5.780306,Albania,Europe,Southern Europe,41.0,20.0
ARE,2011,35.23325,United Arab Emirates,Asia,Western Asia,24.0,54.0
ARG,2011,438.3118,Argentina,Americas,South America,-34.0,-64.0
ARM,2011,104.4625,Armenia,Asia,Western Asia,40.0,45.0
ATG,2011,0.48072,Antigua and Barbuda,Americas,Caribbean,17.05,-61.8
AUS,2011,28.64876,Australia,Oceania,Australia and New Zealand,-27.0,133.0
AUT,2011,35.59189,Austria,Europe,Western Europe,47.3333,13.3333
AZE,2011,418.695,Azerbaijan,Asia,Western Asia,40.5,47.5
BDI,2011,1274.214,Burundi,Africa,Eastern Africa,-3.5,30.0
BEL,2011,32.6658,Belgium,Europe,Western Europe,50.8333,4.0
BEN,2011,539.722,Benin,Africa,Western Africa,9.5,2.25
BFA,2011,956.9227,Burkina Faso,Africa,Western Africa,13.0,-2.0
BGD,2011,45282.15,Bangladesh,Asia,Southern Asia,24.0,90.0
BGR,2011,144.297,Bulgaria,Europe,Eastern Europe,43.0,25.0
BHR,2011,1.729997,Bahrain,Asia,Western Asia,26.0,50.55
BIH,2011,112.2209,Bosnia and Herzegovina,Europe,Southern Europe,44.0,18.0
BLR,2011,606.5739,Belarus,Europe,Eastern Europe,53.0,28.0
BLZ,2011,12.25291,Belize,Americas,Central America,17.25,-88.75
BOL,2011,861.6031,Bolivia,Americas,South America,-17.0,-65.0
BRA,2011,3828.855,Brazil,Americas,South America,-10.0,-55.0
BRB,2011,0.3500816,Barbados,Americas,Caribbean,13.1667,-59.5333
BTN,2011,78.45426,Bhutan,Asia,Southern Asia,27.5,90.5
BWA,2011,334.9424,Botswana,Africa,Southern Africa,-22.0,24.0
CAF,2011,2564.879,Central African Republic,Africa,Middle Africa,7.0,21.0
CAN,2011,61.03031,Canada,Americas,Northern America,60.0,-95.0
CHE,2011,16.9103,Switzerland,Europe,Western Europe,47.0,8.0
CHL,2011,290.709,Chile,Americas,South America,-30.0,-71.0
CHN,2011,35157.78,China,Asia,Eastern Asia,35.0,105.0
CMR,2011,4804.015,Cameroon,Africa,Middle Africa,6.0,12.0
COD,2011,23094.52,Democratic Republic of the Congo,Africa,Middle Africa,0.0,25.0
COL,2011,883.7424,Colombia,Americas,South America,4.0,-72.0
